energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
511,,0.028,,,,,,,,,,,17,19,Cl,,0,,2+,3.013E+5,,15,Y,9508101796144.57,47335388961.888,EC+B+,1.9,0.1,1142.13,19,16,20,S,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2026-09-18
0.185,,0.0030153899175,0.0006208463901208947,,,,,,,,,,17,19,Cl,,0,,2+,3.013E+5,,15,Y,9508101796144.57,47335388961.888,EC+B+,1.9,0.1,1142.13,19,16,20,S,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2026-09-18
2.306,,0.04333570106902879,0.0033649964921222382,,,,,,,,,,17,19,Cl,,0,,2+,3.013E+5,,15,Y,9508101796144.57,47335388961.888,EC+B+,1.9,0.1,1142.13,19,16,20,S,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2026-09-18
2.308,,0.08576232152984126,0.00664587166329219,,,,,,,,,,17,19,Cl,,0,,2+,3.013E+5,,15,Y,9508101796144.57,47335388961.888,EC+B+,1.9,0.1,1142.13,19,16,20,S,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2026-09-18
2.466,,0.008004077401129942,0.0008069659342474706,,,,,,,,,,17,19,Cl,,0,,2+,3.013E+5,,15,Y,9508101796144.57,47335388961.888,EC+B+,1.9,0.1,1142.13,19,16,20,S,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2026-09-18
2.466,,0.008004077401129942,0.0008069659342474706,,,,,,,,,,17,19,Cl,,0,,2+,3.013E+5,,15,Y,9508101796144.57,47335388961.888,EC+B+,1.9,0.1,1142.13,19,16,20,S,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2026-09-18

