mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,2529.97,303,3,0.073,0.005,7.53,0.03,A,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
,,,,,2622.2,211,3,0.745,0.013,6.18,0.02,A,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
,,,,,1744.5,1088,3,0.123,0.004,9.09,0.02,1U,30.4,1.3,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
,,,,,2566.47,267,3,0.106,0.005,7.25,0.02,A,,,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
391,1.1,1.36,0.19,,1507.4,1913,3,4.70,0.15,4.31,0.02,A,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,EC+B+,6.23,0.12,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
395.5,1.1,22.74,0.24,,909.15,1924,3,76.21,0.24,6.152,0.002,A,506.7,1.6,40,49,Zr,,0,,9/2+,78.41,,12,h,282276,432,EC+B+,100,,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18
1074,1.2,0.17,0.12,,0,3421,3,0.024,0.018,7.1,0.4,A,,,40,49,Zr,,587.82,0.1,1/2-,4.161,,10,m,249.66,0.6,EC+B+,6.23,0.12,2833.2,28,39,50,Y,20-Oct-2012,BALRAJ SINGH,2026-09-18

