mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,3486.2,153,4,0.027,0.007,6.8,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2913.08,726,4,0.46,0.04,7.13,0.04,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,1402.91,2236,4,,,,,1U,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3206.43,433,4,0.25,0.04,6.91,0.07,A,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2300.72,1338,4,1.16,0.06,7.28,0.03,,161.2,2.2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3535.1,104,4,0.055,0.011,6,0.1,A,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2961.5,677,4,0.047,0.012,8.1,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3272.9,366,4,0.048,0.013,7.5,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2503.71,1135,4,0.098,0.021,8.2,0.1,,53.1,2,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3003.4,636,4,0.17,0.04,7.4,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3319.0,320,4,0.080,0.02,7.1,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2599.31,1040,4,0.49,0.04,7.43,0.04,,7.9,1.7,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3070.8,568,4,0.043,0.01,7.9,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3384.7,254,4,0.033,0.008,7.3,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2703.3,936,4,0.088,0.021,8.1,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,2808.6,830,4,0.106,0.022,7.9,0.1,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
,,,,,3124.06,515,4,0.181,0.021,7.21,0.06,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2026-09-18
