energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
159,0.05,83.6,0.19,0.000000000196,159.00,,0.0,M1+E2,0.079,11,0.187,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
174.2,0.3,0.0008,0.0003,,1068.16,0.000000000000045,894.77,[M1 E2],,,0.19,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
182.62,0.06,0.013,0.0006,,687.97,0.000000000013,505.34,[M1 E2],,,0.17,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
190.7,0.1,0.0005,0.00017,,,,,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
192.18,0.07,0.0177,0.0011,,697.53,0.000000000013,505.34,[M1 E2],,,0.14,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
197.23,,0.00033,0.00017,0.000000000000045,894.77,,697.53,[M1 E2],,,0.13,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
198.23,,0.0033,0.0009,,687.97,0.0000000307,489.73,[E2],,,0.1545,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
206.8,,0.0033,0.0009,0.000000000000045,894.77,,687.97,[M1 E2],,,0.112,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
207.8,,0.0011,0.0004,,697.53,0.0000000307,489.73,[M1 E2],,,0.111,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
247.97,0.05,0.0693,0.0016,,687.97,0.000000000022,440.01,(M1+E2),,,0.064,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
257.51,0.15,0.0015,0.0005,,697.53,0.000000000022,440.01,[E2],,,0.0637,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
259,0.2,0.0009,0.0005,,,,,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
278.36,0.12,0.0023,0.0005,0.000000000000052,783.61,0.000000000013,505.34,[M1 E2],,,0.045,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
281.03,0.05,0.072,0.003,0.000000000022,440.01,0.000000000196,159.00,M1+E2,-0.24,12,0.0409,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
285.32,0.11,0.0043,0.0005,,532.82,10298880,247.5,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
295.19,,0.001588,0.000004,0.000000000000045,894.77,,599.57,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
329.38,0.17,0.0026,0.0006,,769.27,0.000000000022,440.01,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
330.7,0.08,0.0116,0.0006,0.0000000307,489.73,0.000000000196,159.00,[E2],,,0.0282,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
343.73,0.14,0.0043,0.0005,0.000000000000052,783.61,0.000000000022,440.01,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
346.36,0.05,0.12,0.003,0.000000000013,505.34,0.000000000196,159.00,M1+E2,0.07,8,0.0236,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
405.02,0.13,0.0027,0.0004,0.000000000000045,894.77,0.0000000307,489.73,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
437.5,0.3,0.0008,0.0008,0.000000000000043,1036.65,,599.57,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
440.02,0.05,0.388,0.01,0.000000000022,440.01,,0.0,M1+E2,-2.1,1,0.01199,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
454.76,0.15,0.0034,0.0003,0.000000000000045,894.77,0.000000000022,440.01,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
505.33,0.05,0.288,0.008,0.000000000013,505.34,,0.0,(E2),,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
528.97,0.05,1.27,0.1,,687.97,0.000000000196,159.00,(M1+E2),,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
538.54,0.05,0.31,0.04,,697.53,0.000000000196,159.00,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
556.05,0.13,0.0025,0.0003,,996.07,0.000000000022,440.01,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
562.79,0.12,0.0009,0.00014,,1068.16,0.000000000013,505.34,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
574,1,0.005852,0.000013,,,,,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
578.26,0.2,0.0016,0.0005,,1068.16,0.0000000307,489.73,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
599.69,0.16,0.0026,0.0004,,599.57,,0.0,,,,,,53,70,I,,0,,5/2+,13.2230,,19,h,47602.8,6.84,EC+B+,100,,1228,4,52,71,Te,15-Apr-2021,Jun Chen,2026-09-18
