mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,2521.33,638.3,1.9,0.181,0.015022330045635397,8.4,0.04,1NU,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2693.73,465.9,1.9,0.94,0.07657074114830024,7.4,0.04,A,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2834.88,324.7,1.9,4.3,0.3468292951871281,6.4,0.04,A,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2091.67,1067.9,1.9,0.203,0.016992280600319664,8.81,0.04,1NU,21,0.9,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,3001.12,158.5,1.9,0.34,0.028352072234670962,6.79,0.04,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2308.39,851.2,1.9,0.0084,0.0012048169985520623,10.41,0.07,1U,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2483.32,676.3,1.9,0.01,0.007045565981523415,9.9,0.3,1U,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2681.45,478.1,1.9,0.39,0.034270080245018396,7.8,0.04,1NU,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2746.96,412.6,1.9,0.58,0.050820846116529775,7.49,0.04,A,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2039.34,1120.3,1.9,0.027,0.006376958522681483,9.73,0.11,,47.3,1,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2987.86,171.7,1.9,0.021,0.004338478996146,8.08,0.09,,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2293.68,865.9,1.9,11.6,0.9484373674629232,6.87,0.04,A,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2454.06,705.5,1.9,0.35,0.034670194692271346,8.2,0.05,1NU,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2641.20,518.4,1.9,0.40,0.033140090524921624,7.86,0.04,1NU,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2701.53,458.1,1.9,2.02,0.16436106594932998,7.05,0.04,A,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,1882.65,1276.9,1.9,0.008,0.003067507131206055,11.15,0.17,1U,122,1,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2886.00,273.6,1.9,1.05,0.08919641248391103,6.85,0.04,A,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2224.96,934.6,1.9,0.011,0.006064189970639113,10.46,0.24,1U,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
,,,,,2322.97,836.6,1.9,0.183,0.01582180773489553,8.64,0.04,1NU,,,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
239.42,0.87,0.000129,0.000011467449585675099,,1657.28,1502.3,1.9,0.11,0.009666436778875657,10.3,0.04,1U,241.7,1,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
366.83,0.83,0.293,0.02419573516138743,,1325.51,1834.1,1.9,5.4,0.4428419131021814,7.87,0.04,1NU,446,1.1,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
422.27,0.84,0.00065,0.00016823792675850472,,1248.60,1911,1.9,0.039,0.010475418846041432,11.17,0.12,1U,468.1,1.1,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
687.04,0.86,11.7,0.9571290404120021,,602.74,2556.8,1.9,25.2,2.055299491558347,7.49,0.04,1NU,849.1,1,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18
974.74,0.85,10.7,0.9070479590407555,,0.0,3159.6,1.9,23.9,2.0039321345794123,9.27,0.04,1U,1166.2,1.1,53,71,I,,0,,2-,4.1760,,3,d,360806.4,25.92,EC+B+,100,,3159.6,27,52,72,Te,1-Apr-2008,J. KATAKURA and  Z.D. WU,2026-09-18

