mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,,2686.87,1303,40,0.129,0.003,8.84,0.03,1NU,142,22,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2981.45,1009,40,0.0545,0.0018,8.98,0.04,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3143.97,846,40,0.0603,0.0015,8.78,0.05,A,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3236.96,753,40,0.0728,0.0019,8.59,0.06,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2729.17,1261,40,1.00,0.03,7.92,0.04,1NU,119,22,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3006.78,983,40,0.366,0.007,8.13,0.04,1NU,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3358.27,632,40,0.074,0.004,8.42,0.07,1NU,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2749.23,1241,40,1.59,0.03,7.71,0.03,,108,22,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3042.29,948,40,0.330,0.006,8.15,0.04,1NU,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2880.67,1109,40,1.82,0.03,7.55,0.04,1NU,40,20,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3079.66,910,40,0.091,0.004,8.67,0.05,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2927.86,1062,40,0.265,0.007,8.34,0.04,,2,17,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3105.52,884,40,0.0572,0.0015,8.84,0.05,1NU,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2598.80,1391,40,0.289,0.005,8.55,0.03,,190,22,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2964.30,1026,40,0.335,0.009,8.21,0.04,A,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3140.21,850,40,0.14,0.03,8.4,0.1,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2667.56,1322,40,0.132,0.004,8.84,0.03,A,152,22,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3232.06,758,40,0.0686,0.0018,8.62,0.06,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2719.64,1270,40,1.39,0.03,7.79,0.03,1NU,124,22,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2999.55,990,40,0.233,0.005,8.34,0.04,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3340.65,649,40,0.118,0.005,8.24,0.07,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2744.04,1246,40,0.084,0.003,8.99,0.04,A,111,22,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3012.37,978,40,0.196,0.005,8.4,0.04,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2862.66,1127,40,0.232,0.004,8.46,0.04,,49,20,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3074.85,915,40,0.066,0.004,8.81,0.05,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2920.10,1070,40,0.103,0.005,8.76,0.04,,15,19,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3099.02,891,40,0.157,0.013,8.41,0.06,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2932.71,1057,40,0.450,0.01,8.11,0.04,1NU,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3112.53,877,40,0.120,0.008,8.51,0.06,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2641.59,1348,40,0.132,0.009,8.86,0.04,,167,22,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3152.89,837,40,0.071,0.003,8.7,0.05,A,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2709.43,1281,40,1.65,0.03,7.72,0.03,1NU,130,22,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2989.03,1001,40,0.0308,0.0015,9.23,0.05,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3285.17,705,40,0.154,0.003,8.21,0.06,1NU,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2734.07,1256,40,0.146,0.003,8.75,0.03,,116,22,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3009.23,981,40,0.188,0.004,8.42,0.04,A,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2772.40,1218,40,0.287,0.009,8.43,0.04,1NU,96,21,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3067.42,923,40,0.0319,0.0011,9.14,0.05,A,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2914.19,1076,40,0.251,0.005,8.38,0.04,1NU,17,19,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3090.42,900,40,0.0090,0.0006,9.66,0.05,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,2928.68,1061,40,0.071,0.006,8.92,0.05,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
,,,,,3110.93,879,40,0.0876,0.0021,8.65,0.05,,,,65,87,Tb,,0,,2-,17.5,,1,h,63000,360,EC+B+,100,,3990,40,64,88,Gd,31-Aug-2013,M. J. MARTIN,2026-09-18
