mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,energy_ec,unc_eec,intensity_ec,unc_ie,log_ft,unc_lf,transition_type,nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
,,,,0.000000000000141,2938.41,1065.71,0.14,2.74,0.2,14.59,0.04,2U,19.5,0.06,13,13,Al,,0,,5+,7.17E+5,,24,Y,22626315923782.465,757366223390.208,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-19
543.29,,81.73,0.21,0.000000000000476,1808.72,2195.37,0.09,15.51,0.13,15.721,0.015,2U,630.25,0.05,13,13,Al,,0,,5+,7.17E+5,,24,Y,22626315923782.465,757366223390.208,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-19
1439.58,,99.9176,0.0009,,0,4232.65,0.06,0.0824,0.0009,3.48281,0.00006,S,,,13,13,Al,,228.305,0.013,0+,6.3460,,8,s,6.346,0.0008,EC+B+,100,,4004.41,7,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2026-09-19

